,lalvoterid,zip,age,gender_F,gender_M,religion_Buddhist,religion_Catholic,religion_Christian,religion_Eastern Orthodox,religion_Greek Orthodox,religion_Hindu,religion_Islamic,religion_Jewish,religion_Lutheran,religion_Protestant,religion_Shinto,ethnicity_East and South Asian,ethnicity_European,ethnicity_Hispanic and Portuguese,ethnicity_Likely African-American,ethnicity_Other
56,LALDC174787380,20032.0,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,LALDC174790631,20018.0,66,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
58,LALDC174793367,20009.0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
59,LALDC174793586,20002.0,52,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
60,LALDC174794645,20011.0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,LALDC174799296,20020.0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,LALDC174800879,20009.0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,LALDC174802258,20019.0,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,LALDC174804105,20005.0,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
65,LALDC174804182,20017.0,53,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
66,LALDC174809678,20016.0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,LALDC174809805,20008.0,48,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
68,LALDC174811770,20002.0,41,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,LALDC174811935,20017.0,38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
70,LALDC174817933,20009.0,49,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,LALDC174821015,20009.0,47,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
72,LALDC174828947,20001.0,56,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
73,LALDC174834416,20003.0,48,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,LALDC174836318,20001.0,44,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
75,LALDC174840234,20012.0,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,LALDC174843889,20002.0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,LALDC174846692,20002.0,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78,LALDC174848335,20019.0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
79,LALDC174860966,20032.0,54,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
